tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-580,Australian Open,Hard,128,G,20250112,112,208618,1,,Jannik Sinner,R,188,ITA,23.4,207822,,,Sebastian Korda,R,196,USA,24.6,6-2 6-4 6-3,5,R32,,,,,,,,,,,,,,,,,,,,1,11830,22,1075
2025-580,Australian Open,Hard,128,G,20250112,111,103970,13,,Holger Rune,R,185,DEN,21.8,144827,,,Matteo Berrettini,R,185,ITA,28.7,7-6(3) 2-6 6-3 7-6(6),5,R32,,,,,,,,,,,,,,,,,,,,13,1620,36,550
2025-580,Australian Open,Hard,128,G,20250112,110,106421,8,,Alex de Minaur,R,180,AUS,26.2,126774,,,Tristan Boyer,R,183,USA,20.9,6-2 4-6 6-3 6-2,5,R32,,,,,,,,,,,,,,,,,,,,8,1855,0,0
2025-580,Australian Open,Hard,128,G,20250112,109,105838,25,,Alexei Popyrin,R,196,AUS,25.9,105223,,,Aleksandar Vukic,R,188,AUS,29.1,7-6(5) 6-2 6-4,5,R32,,,,,,,,,,,,,,,,,,,,25,865,61,385
2025-580,Australian Open,Hard,128,G,20250112,108,207421,21,,Ben Shelton,L,193,USA,22.2,144895,,,Learner Tien,R,180,USA,19.4,6-2 6-4 6-3,5,R32,,,,,,,,,,,,,,,,,,,,21,1120,0,0
2025-580,Australian Open,Hard,128,G,20250112,107,106058,,,Gaël Monfils,R,193,FRA,38.8,102338,4,,Taylor Fritz,R,196,USA,27.5,3-7 7-6(1) 7-6(4) 6-4,5,R32,,,,,,,,,,,,,,,,,,,,51,435,4,4300
2025-580,Australian Open,Hard,128,G,20250112,106,105260,,,Lorenzo Sonego,L,188,ITA,29.8,208673,,,Fábián Marozsán,R,188,HUN,22.1,6-4 6-2 6-3,5,R32,,,,,,,,,,,,,,,,,,,,56,415,0,0
2025-580,Australian Open,Hard,128,G,20250112,105,208673,24,,Jiří Lehečka,L,192,CZE,23.1,127792,,,Benjamin Bonzi,R,175,FRA,28.7,6-2 6-3 6-2,5,R32,,,,,,,,,,,,,,,,,,,,24,1480,0,0
2025-580,Australian Open,Hard,128,G,20250112,104,144895,3,,Carlos Alcaraz,R,185,ESP,21.8,106233,,,Nuno Borges,R,183,POR,27.8,6-2 6-4 6-2,5,R32,,,,,,,,,,,,,,,,,,,,3,6010,33,625
2025-580,Australian Open,Hard,128,G,20250112,103,144827,16,,Lorenzo Musetti,R,185,ITA,22.8,200059,,,Denis Shapovalov,L,185,CAN,25.8,6-3 3-6 6-3 6-1,5,R32,,,,,,,,,,,,,,,,,,,,16,1355,0,0
2025-580,Australian Open,Hard,128,G,20250112,102,208618,15,,Jack Draper,L,193,GBR,23.3,105223,,,Aleksandar Vukic,R,188,AUS,29.1,6-4 2-5 7-6(5) 7-6(8),5,R32,,,,,,,,,,,,,,,,,,,,15,1425,61,385
2025-580,Australian Open,Hard,128,G,20250112,101,104545,7,,Novak Djokovic,R,188,SRB,37.7,106421,26,,Tomáš Macháč,R,180,CZE,24.9,6-1 6-4 6-4,5,R32,,,,,,,,,,,,,,,,,,,,7,2300,26,850
2025-580,Australian Open,Hard,128,G,20250112,100,208636,,,Alejandro Davidovich Fokina,R,183,ESP,25.8,144827,20,,Arthur Fils,R,196,FRA,20.9,6-4 6-2 6-2,5,R32,,,,,,,,,,,,,,,,,,,,39,530,20,1170
2025-580,Australian Open,Hard,128,G,20250112,99,102338,12,,Tommy Paul,R,185,USA,27.8,208018,,,Karen Khachanov,R,198,RUS,28.8,6-0 6-5 ret,5,R32,,,,,,,,,,,,,,,,,,,,12,1770,19,1170
2025-580,Australian Open,Hard,128,G,20250112,98,105138,27,,Jordan Thompson,R,183,AUS,30.7,144895,,,Alex Michelsen,R,193,USA,20.6,7-6(4) 6-3 7-6(4),5,R32,,,,,,,,,,,,,,,,,,,,27,850,0,0
2025-580,Australian Open,Hard,128,G,20250112,97,207989,2,,Alexander Zverev,R,198,GER,27.7,105260,,,Jacob Fearnley,R,188,GBR,23.6,6-3 6-4 6-4,5,R32,,,,,,,,,,,,,,,,,,,,2,7915,0,0
2025-580,Australian Open,Hard,128,G,20250112,96,208618,1,,Jannik Sinner,R,188,ITA,23.4,200059,,,Marcos Giron,R,185,USA,31.8,6-3 6-4 6-2,5,R64,,,,,,,,,,,,,,,,,,,,1,11830,46,475
2025-580,Australian Open,Hard,128,G,20250112,95,207822,,,Sebastian Korda,R,196,USA,24.6,144827,,,Tomás Martín Etcheverry,R,185,ARG,25.8,7-5 3-6 7-5 3-6 6-4,5,R64,,,,,,,,,,,,,,,,,,,,22,1075,31,650
2025-580,Australian Open,Hard,128,G,20250112,94,103970,13,,Holger Rune,R,185,DEN,21.8,200240,,,Zhang Zhizhen,R,185,CHN,28.4,4-6 6-3 6-4 3-6 6-3,5,R64,,,,,,,,,,,,,,,,,,,,13,1620,42,500
2025-580,Australian Open,Hard,128,G,20250112,93,144827,,,Matteo Berrettini,R,185,ITA,28.7,111577,,,Cameron Norrie,R,185,GBR,29.3,7-6(3) 6-4 1-6 6-3,5,R64,,,,,,,,,,,,,,,,,,,,36,550,49,450
2025-580,Australian Open,Hard,128,G,20250112,92,106421,8,,Alex de Minaur,R,180,AUS,26.2,127792,,,Botic van de Zandschulp,R,185,NED,29.4,6-1 7-5 6-4,5,R64,,,,,,,,,,,,,,,,,,,,8,1855,0,0
2025-580,Australian Open,Hard,128,G,20250112,91,126774,,,Tristan Boyer,R,183,USA,20.9,200125,,,Federico Coria,R,180,ARG,32.5,6-3 6-7 6-1 5-7 6-1,5,R64,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,90,105838,25,,Alexei Popyrin,R,196,AUS,25.9,105223,,,Aleksandar Vukic,R,188,AUS,29.1,6-2 4-6 3-6 6-2 7-6(8),5,R64,,,,,,,,,,,,,,,,,,,,25,865,61,385
2025-580,Australian Open,Hard,128,G,20250112,89,207421,21,,Ben Shelton,L,193,USA,22.2,126774,,,Brandon Nakashima,R,185,USA,23.4,6-3 6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,,21,1120,27,850
2025-580,Australian Open,Hard,128,G,20250112,88,144895,,,Learner Tien,R,180,USA,19.4,144827,5,,Daniil Medvedev,R,198,RUS,28.9,6-3 7-6(4) 6-7(8) 1-6 7-6(8),5,R64,,,,,,,,,,,,,,,,,,,,0,0,5,3030
2025-580,Australian Open,Hard,128,G,20250112,87,106058,,,Gaël Monfils,R,193,FRA,38.8,200125,,,Daniel Altmaier,R,188,GER,26.3,7-6(5) 6-3 6-1,5,R64,,,,,,,,,,,,,,,,,,,,51,435,0,0
2025-580,Australian Open,Hard,128,G,20250112,86,102338,4,,Taylor Fritz,R,196,USA,27.5,208636,,,Cristian Garín,R,180,CHI,28.6,6-2 6-1 6-0,5,R64,,,,,,,,,,,,,,,,,,,,4,4300,0,0
2025-580,Australian Open,Hard,128,G,20250112,85,105260,,,Lorenzo Sonego,L,188,ITA,29.8,208618,,,João Fonseca,R,180,BRA,18.5,7-6(3) 6-2 1-6 3-6 6-3,5,R64,,,,,,,,,,,,,,,,,,,,56,415,0,0
2025-580,Australian Open,Hard,128,G,20250112,84,208673,,,Fábián Marozsán,R,188,HUN,22.1,106421,,,Thiago Seyboth Wild,R,185,BRA,24.9,6-3 7-6(2) 5-7 6-3,5,R64,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,83,208673,24,,Jiří Lehečka,L,192,CZE,23.1,200125,,,Li Tu,R,180,AUS,29.2,6-1 3-6 6-3 7-6(4),5,R64,,,,,,,,,,,,,,,,,,,,24,1480,0,0
2025-580,Australian Open,Hard,128,G,20250112,82,127792,,,Benjamin Bonzi,R,175,FRA,28.7,144895,,,David Goffin,R,180,BEL,34.6,6-1 2-6 6-3 6-1,5,R64,,,,,,,,,,,,,,,,,,,,0,0,53,425
2025-580,Australian Open,Hard,128,G,20250112,81,144895,3,,Carlos Alcaraz,R,185,ESP,21.8,144827,,,Yoshihito Nishioka,R,170,JPN,29.2,6-0 6-1 6-4,5,R64,,,,,,,,,,,,,,,,,,,,3,6010,0,0
2025-580,Australian Open,Hard,128,G,20250112,80,106233,,,Nuno Borges,R,183,POR,27.8,200125,,,Jordan Thompson,R,183,AUS,30.7,6-2 6-4 6-4,5,R64,,,,,,,,,,,,,,,,,,,,33,625,27,850
2025-580,Australian Open,Hard,128,G,20250112,79,144827,16,,Lorenzo Musetti,R,185,ITA,22.8,144895,,,Matteo Arnaldi,R,185,ITA,23.6,6-4 6-2 6-3,5,R64,,,,,,,,,,,,,,,,,,,,16,1355,36,550
2025-580,Australian Open,Hard,128,G,20250112,78,200059,,,Denis Shapovalov,L,185,CAN,25.8,200125,,,Roberto Bautista Agut,R,183,ESP,37.2,6-1 6-4 6-2,5,R64,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,77,208618,15,,Jack Draper,L,193,GBR,23.3,106233,,,Mariano Navone,L,188,ARG,23.5,6-4 6-2 3-6 6-3,5,R64,,,,,,,,,,,,,,,,,,,,15,1425,0,0
2025-580,Australian Open,Hard,128,G,20250112,76,105223,,,Aleksandar Vukic,R,188,AUS,29.1,200125,,,Thanasi Kokkinakis,R,196,AUS,29.2,6-7(3) 3-6 6-3 7-6(5) 6-3,5,R64,,,,,,,,,,,,,,,,,,,,61,385,77,345
2025-580,Australian Open,Hard,128,G,20250112,75,104545,7,,Novak Djokovic,R,188,SRB,37.7,106421,,,Jaime Faria,R,180,POR,22.1,6-1 6-7(4) 6-3 6-2,5,R64,,,,,,,,,,,,,,,,,,,,7,2300,0,0
2025-580,Australian Open,Hard,128,G,20250112,74,106421,26,,Tomáš Macháč,R,180,CZE,24.9,200125,,,Reilly Opelka,R,211,USA,27.3,6-3 7-6(5) 6-7(5) 7-6(4) 6-4,5,R64,,,,,,,,,,,,,,,,,,,,26,850,293,169
2025-580,Australian Open,Hard,128,G,20250112,73,208636,,,Alejandro Davidovich Fokina,R,183,ESP,25.8,200240,,,Sumit Nagal,R,180,IND,27.8,6-3 1-6 6-5 6-4,5,R64,,,,,,,,,,,,,,,,,,,,39,530,0,0
2025-580,Australian Open,Hard,128,G,20250112,72,144827,20,,Arthur Fils,R,196,FRA,20.9,126774,,,Jan-Lennard Struff,R,196,GER,34.7,7-6(3) 6-4 6-2,5,R64,,,,,,,,,,,,,,,,,,,,20,1170,0,0
2025-580,Australian Open,Hard,128,G,20250112,71,102338,12,,Tommy Paul,R,185,USA,27.8,200125,,,Christopher Eubanks,R,201,USA,28.8,6-1 6-2 6-8 6-3,5,R64,,,,,,,,,,,,,,,,,,,,12,1770,0,0
2025-580,Australian Open,Hard,128,G,20250112,70,208018,,,Karen Khachanov,R,198,RUS,28.8,144895,,,Gabriel Diallo,R,196,CAN,23.4,6-3 6-5 ret,5,R64,,,,,,,,,,,,,,,,,,,,19,1170,0,0
2025-580,Australian Open,Hard,128,G,20250112,69,144895,,,Alex Michelsen,R,193,USA,20.6,106421,11,,Stefanos Tsitsipas,R,193,GRE,26.5,7-5 6-3 2-6 6-4,5,R64,,,,,,,,,,,,,,,,,,,,0,0,11,1785
2025-580,Australian Open,Hard,128,G,20250112,68,105138,27,,Jordan Thompson,R,183,AUS,30.7,200125,,,Casper Ruud,R,183,NOR,26.1,6-4 7-6(1) 6-3,5,R64,,,,,,,,,,,,,,,,,,,,27,850,6,2855
2025-580,Australian Open,Hard,128,G,20250112,67,105260,,,Jacob Fearnley,R,188,GBR,23.6,208618,29,,Félix Auger-Aliassime,R,193,CAN,24.4,6-4 6-1 6-4,5,R64,,,,,,,,,,,,,,,,,,,,0,0,29,665
2025-580,Australian Open,Hard,128,G,20250112,66,207989,2,,Alexander Zverev,R,198,GER,27.7,144895,,,Pedro Martínez,R,175,ESP,27.7,6-1 6-4 6-1,5,R64,,,,,,,,,,,,,,,,,,,,2,7915,47,470
2025-580,Australian Open,Hard,128,G,20250112,65,208618,1,,Jannik Sinner,R,188,ITA,23.4,208636,,,Nicolás Jarry,R,196,CHI,29.4,7-6(2) 7-6(5) 6-1,5,R128,,,,,,,,,,,,,,,,,,,,1,11830,34,615
2025-580,Australian Open,Hard,128,G,20250112,64,200059,,,Marcos Giron,R,185,USA,31.8,200240,,,Yannick Hanfmann,R,188,GER,33.8,2-6 7-5 6-1 7-5,5,R128,,,,,,,,,,,,,,,,,,,,46,475,91,315
2025-580,Australian Open,Hard,128,G,20250112,63,207822,,,Sebastian Korda,R,196,USA,24.6,200125,,,Alexander Bublik,R,198,KAZ,27.8,6-2 6-4 6-4,5,R128,,,,,,,,,,,,,,,,,,,,22,1075,0,0
2025-580,Australian Open,Hard,128,G,20250112,62,144827,,,Tomás Martín Etcheverry,R,185,ARG,25.8,126774,,,Francisco Comesaña,R,185,ARG,24.1,6-2 6-7(4) 5-7 6-2 6-4,5,R128,,,,,,,,,,,,,,,,,,,,31,650,0,0
2025-580,Australian Open,Hard,128,G,20250112,61,103970,13,,Holger Rune,R,185,DEN,21.8,126774,,,Zhang Yifan,R,180,CHN,25.4,6-4 6-3 6-2,5,R128,,,,,,,,,,,,,,,,,,,,13,1620,0,0
2025-580,Australian Open,Hard,128,G,20250112,60,200240,,,Zhang Zhizhen,R,185,CHN,28.4,144895,,,Luca Nardi,R,185,ITA,21.3,6-4 3-6 6-6 6-1,5,R128,,,,,,,,,,,,,,,,,,,,42,500,0,0
2025-580,Australian Open,Hard,128,G,20250112,59,144827,,,Matteo Berrettini,R,185,ITA,28.7,111577,,,Cameron Norrie,R,185,GBR,29.3,7-6(3) 6-4 1-6 6-3,5,R128,,,,,,,,,,,,,,,,,,,,36,550,49,450
2025-580,Australian Open,Hard,128,G,20250112,58,106421,8,,Alex de Minaur,R,180,AUS,26.2,127792,,,Tristan Schoolkate,R,188,AUS,23.6,4-6 6-3 6-3 6-3,5,R128,,,,,,,,,,,,,,,,,,,,8,1855,0,0
2025-580,Australian Open,Hard,128,G,20250112,57,127792,,,Botic van de Zandschulp,R,185,NED,29.4,200240,,,Taro Daniel,R,180,JPN,32.2,6-1 7-5 6-4,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,56,126774,,,Tristan Boyer,R,183,USA,20.9,200125,,,Federico Coria,R,180,ARG,32.5,6-3 6-7 6-1 5-7 6-1,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,55,105838,25,,Alexei Popyrin,R,196,AUS,25.9,106421,32,,Flavio Cobolli,R,188,ITA,22.8,6-2 0-6 3-6 6-4,5,R128,,,,,,,,,,,,,,,,,,,,25,865,32,615
2025-580,Australian Open,Hard,128,G,20250112,54,105223,,,Aleksandar Vukic,R,188,AUS,29.1,200125,,,Tallon Griekspoor,R,185,NED,28.5,6-1 5-7 3-6 6-3 6-1,5,R128,,,,,,,,,,,,,,,,,,,,61,385,0,0
2025-580,Australian Open,Hard,128,G,20250112,53,207421,21,,Ben Shelton,L,193,USA,22.2,208636,,,Brandon Nakashima,R,185,USA,23.4,7-6(5) 7-5 7-5,5,R128,,,,,,,,,,,,,,,,,,,,21,1120,27,850
2025-580,Australian Open,Hard,128,G,20250112,52,126774,,,Brandon Nakashima,R,185,USA,23.4,200125,,,Pablo Carreño Busta,R,188,ESP,33.5,6-3 6-3 7-6(4),5,R128,,,,,,,,,,,,,,,,,,,,27,850,0,0
2025-580,Australian Open,Hard,128,G,20250112,51,144895,,,Learner Tien,R,180,USA,19.4,126774,,,Camilo Ugo Carabelli,R,180,ARG,26.2,4-6 7-6(8) 6-3 5-6 7-6(8),5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,50,144827,5,,Daniil Medvedev,R,198,RUS,28.9,200125,,,Kasidit Samrej,R,185,THA,21.3,6-2 4-6 3-6 6-1 6-7,5,R128,,,,,,,,,,,,,,,,,,,,5,3030,0,0
2025-580,Australian Open,Hard,128,G,20250112,49,106058,,,Gaël Monfils,R,193,FRA,38.8,200125,,,Giovanni Mpetshi Perricard,R,196,FRA,21.4,6-7(4) 6-4 6-3,5,R128,,,,,,,,,,,,,,,,,,,,51,435,30,595
2025-580,Australian Open,Hard,128,G,20250112,48,200125,,,Daniel Altmaier,R,188,GER,26.3,106421,,,Francisco Comesaña,R,185,ARG,24.1,6-2 6-7(4) 5-7 6-2 6-4,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,47,102338,4,,Taylor Fritz,R,196,USA,27.5,144827,,,Jenson Brooksby,R,185,USA,24.5,6-2 6-0 6-3,5,R128,,,,,,,,,,,,,,,,,,,,4,4300,0,0
2025-580,Australian Open,Hard,128,G,20250112,46,208636,,,Cristian Garín,R,180,CHI,28.6,200125,,,Borna Ćorić,R,185,CRO,28.2,7-5 6-1 6-2,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,45,105260,,,Lorenzo Sonego,L,188,ITA,29.8,200125,,,Stan Wawrinka,R,183,SUI,39.9,6-4 7-5 5-7 7-5,5,R128,,,,,,,,,,,,,,,,,,,,56,415,0,0
2025-580,Australian Open,Hard,128,G,20250112,44,208618,,,João Fonseca,R,180,BRA,18.5,144895,9,,Andrey Rublev,R,188,RUS,27.3,7-6(1) 6-3 7-6(5),5,R128,,,,,,,,,,,,,,,,,,,,0,0,9,1950
2025-580,Australian Open,Hard,128,G,20250112,43,208673,,,Fábián Marozsán,R,188,HUN,22.1,106421,,,Thiago Seyboth Wild,R,185,BRA,24.9,6-3 7-6(2) 5-7 6-3,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,42,208673,24,,Jiří Lehečka,L,192,CZE,23.1,200125,,,Hugo Gaston,R,180,FRA,24.2,6-3 6-1 ret,5,R128,,,,,,,,,,,,,,,,,,,,24,1480,0,0
2025-580,Australian Open,Hard,128,G,20250112,41,200125,,,Li Tu,R,180,AUS,29.2,200125,,,Omar Jasika,R,175,AUS,22.7,6-2 6-3 6-2,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,40,127792,,,Benjamin Bonzi,R,175,FRA,28.7,200125,,,Grigor Dimitrov,R,188,BUL,33.9,7-5 1-0 ret,5,R128,,,,,,,,,,,,,,,,,,,,0,0,10,1780
2025-580,Australian Open,Hard,128,G,20250112,39,144895,,,David Goffin,R,180,BEL,34.6,144895,,,Francesco Passaro,R,175,ITA,23.8,6-7(5) 6-3 6-4 6-2,5,R128,,,,,,,,,,,,,,,,,,,,53,425,0,0
2025-580,Australian Open,Hard,128,G,20250112,38,144895,3,,Carlos Alcaraz,R,185,ESP,21.8,144827,,,Yoshihito Nishioka,R,170,JPN,29.2,6-0 6-1 6-4,5,R128,,,,,,,,,,,,,,,,,,,,3,6010,0,0
2025-580,Australian Open,Hard,128,G,20250112,37,106233,,,Nuno Borges,R,183,POR,27.8,200125,,,Jordan Thompson,R,183,AUS,30.7,6-2 6-4 6-4,5,R128,,,,,,,,,,,,,,,,,,,,33,625,27,850
2025-580,Australian Open,Hard,128,G,20250112,36,144827,16,,Lorenzo Musetti,R,185,ITA,22.8,144895,,,Matteo Arnaldi,R,185,ITA,23.6,6-4 6-2 6-3,5,R128,,,,,,,,,,,,,,,,,,,,16,1355,36,550
2025-580,Australian Open,Hard,128,G,20250112,35,200059,,,Denis Shapovalov,L,185,CAN,25.8,200125,,,Roberto Bautista Agut,R,183,ESP,37.2,6-1 6-4 6-2,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,34,208618,15,,Jack Draper,L,193,GBR,23.3,106233,,,Mariano Navone,L,188,ARG,23.5,6-4 6-2 3-6 6-3,5,R128,,,,,,,,,,,,,,,,,,,,15,1425,0,0
2025-580,Australian Open,Hard,128,G,20250112,33,105223,,,Aleksandar Vukic,R,188,AUS,29.1,200125,,,Thanasi Kokkinakis,R,196,AUS,29.2,6-7(3) 3-6 6-3 7-6(5) 6-3,5,R128,,,,,,,,,,,,,,,,,,,,61,385,77,345
2025-580,Australian Open,Hard,128,G,20250112,32,104545,7,,Novak Djokovic,R,188,SRB,37.7,200125,,,Nishesh Basavareddy,R,185,USA,19.9,4-6 6-3 6-4 6-2,5,R128,,,,,,,,,,,,,,,,,,,,7,2300,0,0
2025-580,Australian Open,Hard,128,G,20250112,31,106421,,,Jaime Faria,R,180,POR,22.1,200125,,,Pavel Kotov,R,183,RUS,26.0,6-1 6-1 6-5,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,30,106421,26,,Tomáš Macháč,R,180,CZE,24.9,200125,,,Gauthier Onclin,R,180,BEL,23.4,6-3 6-7(5) 6-5 7-6(4) 6-4,5,R128,,,,,,,,,,,,,,,,,,,,26,850,0,0
2025-580,Australian Open,Hard,128,G,20250112,29,200125,,,Reilly Opelka,R,211,USA,27.3,200125,,,Sumit Nagal,R,180,IND,27.8,6-3 6-1 6-5,5,R128,,,,,,,,,,,,,,,,,,,,293,169,0,0
2025-580,Australian Open,Hard,128,G,20250112,28,208636,,,Alejandro Davidovich Fokina,R,183,ESP,25.8,200240,,,Arthur Rinderknech,R,193,FRA,29.7,7-6(5) 6-3 4-6 7-6(3),5,R128,,,,,,,,,,,,,,,,,,,,39,530,0,0
2025-580,Australian Open,Hard,128,G,20250112,27,144827,20,,Arthur Fils,R,196,FRA,20.9,126774,,,Frances Tiafoe,R,188,USA,27.1,7-6(5) 6-4 4-6 6-7(3) 6-3,5,R128,,,,,,,,,,,,,,,,,,,,20,1170,17,1250
2025-580,Australian Open,Hard,128,G,20250112,26,102338,12,,Tommy Paul,R,185,USA,27.8,200125,,,Hubert Hurkacz,R,196,POL,28.1,6-7(3) 6-3 6-2 6-2,5,R128,,,,,,,,,,,,,,,,,,,,12,1770,18,1210
2025-580,Australian Open,Hard,128,G,20250112,25,200125,,,Christopher Eubanks,R,201,USA,28.8,200125,,,Miomir Kecmanović,R,185,SRB,26.0,6-7(1) 6-4 6-3 6-7(4) 6-1,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,24,208018,,,Karen Khachanov,R,198,RUS,28.8,200125,,,Adrian Mannarino,R,188,FRA,36.6,7-6(5) 6-3 6-3,5,R128,,,,,,,,,,,,,,,,,,,,19,1170,0,0
2025-580,Australian Open,Hard,128,G,20250112,23,144895,,,Gabriel Diallo,R,196,CAN,23.4,200125,,,Luca Nardi,R,185,ITA,21.3,6-1 7-6(2) 5-7 3-6 6-3,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,22,144895,,,Alex Michelsen,R,193,USA,20.6,106421,11,,Stefanos Tsitsipas,R,193,GRE,26.5,7-5 6-3 2-6 6-4,5,R128,,,,,,,,,,,,,,,,,,,,0,0,11,1785
2025-580,Australian Open,Hard,128,G,20250112,21,105138,27,,Jordan Thompson,R,183,AUS,30.7,200125,,,James McCabe,R,185,AUS,23.8,6-7(2) 6-3 6-3 6-4,5,R128,,,,,,,,,,,,,,,,,,,,27,850,0,0
2025-580,Australian Open,Hard,128,G,20250112,20,200125,,,Casper Ruud,R,183,NOR,26.1,144895,,,Jaume Munar,R,183,ESP,27.7,6-4 6-2 6-1,5,R128,,,,,,,,,,,,,,,,,,,,6,2855,0,0
2025-580,Australian Open,Hard,128,G,20250112,19,105260,,,Jacob Fearnley,R,188,GBR,23.6,208618,28,,Sebastián Báez,R,170,ARG,24.2,6-4 6-1 6-4,5,R128,,,,,,,,,,,,,,,,,,,,0,0,28,665
2025-580,Australian Open,Hard,128,G,20250112,18,208618,29,,Félix Auger-Aliassime,R,193,CAN,24.4,106421,,,Adam Walton,R,183,AUS,25.8,7-5 6-3 3-6 6-4,5,R128,,,,,,,,,,,,,,,,,,,,29,665,0,0
2025-580,Australian Open,Hard,128,G,20250112,17,207989,2,,Alexander Zverev,R,198,GER,27.7,144895,,,Lucas Pouille,R,185,FRA,31.2,6-4 6-4 6-4,5,R128,,,,,,,,,,,,,,,,,,,,2,7915,0,0
2025-580,Australian Open,Hard,128,G,20250112,16,144895,,,Pedro Martínez,R,175,ESP,27.7,200125,,,Bu Yunchaokete,R,175,CHN,22.5,7-5 6-2 6-1,5,R128,,,,,,,,,,,,,,,,,,,,47,470,0,0
2025-580,Australian Open,Hard,128,G,20250112,15,200125,,,Martín Landaluce,R,180,ESP,19.8,200125,,,James McCabe,R,185,AUS,23.8,6-4 6-3 6-4,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,14,200125,,,Hady Habib,R,180,LBN,27.7,208636,31,,Francisco Cerúndolo,R,185,ARG,26.6,6-4 6-2 6-1,5,R128,,,,,,,,,,,,,,,,,,,,0,0,31,650
2025-580,Australian Open,Hard,128,G,20250112,13,208636,,,Alejandro Tabilo,R,185,CHI,27.8,144895,,,Mitchell Krueger,R,185,USA,30.5,6-4 6-1 6-2,5,R128,,,,,,,,,,,,,,,,,,,,23,940,0,0
2025-580,Australian Open,Hard,128,G,20250112,12,200125,,,Rinky Hijikata,L,175,AUS,24.2,144895,,,Kamil Majchrzak,R,185,POL,28.6,6-4 6-3 6-4,5,R128,,,,,,,,,,,,,,,,,,,,171,205,0,0
2025-580,Australian Open,Hard,128,G,20250112,11,208618,30,,Giovanni Mpetshi Perricard,R,196,FRA,21.4,144895,,,Lukáš Klein,R,185,SVK,26.7,6-3 7-6(4),5,R128,,,,,,,,,,,,,,,,,,,,30,595,0,0
2025-580,Australian Open,Hard,128,G,20250112,10,200125,,,Matteo Gigante,R,185,ITA,23.5,200125,,,Dominik Koepfer,R,180,GER,31.2,6-6 6-3 6-1,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,9,200125,,,Thiago Monteiro,R,185,BRA,31.1,200125,,,Aziz Dougaz,R,180,TUN,29.5,6-4 6-3 6-4,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,8,200125,,,Nikoloz Basilashvili,R,183,GEO,33.1,200125,,,Learner Tien,R,180,USA,19.4,6-4 6-2 6-1,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,7,200125,,,João Fonseca,R,180,BRA,18.5,200125,,,Stan Wawrinka,R,183,SUI,39.9,7-6(5) 6-7(11) 6-2 6-2,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,6,200125,,,Jaime Faria,R,180,POR,22.1,200125,,,Pavel Kotov,R,183,RUS,26.0,6-1 6-1 6-5,5,R128,,,,,,,,,,,,,,,,,,,,0,0,0,0
2025-580,Australian Open,Hard,128,G,20250112,5,200125,,,Gauthier Onclin,R,180,BEL,23.4,144895,,,Rinky Hijikata,L,175,AUS,24.2,6-4 6-7(5) 3-6 7-6(4) 6-3,5,R128,,,,,,,,,,,,,,,,,,,,0,0,171,205
